title,seller,property_type,address,price,bedrooms,bathrooms,built_area,land_area,description,publication_date
"SE VENDE LINDA CASA EN SAN  FELIPE  DEL AGUA , CALLE JACARANDAS,Nuroa",Nuroa,Casa,"Volcanes, Oaxaca, Oaxaca",5500000,4,4,300,200,"Suave y acogedora es lo que describe a casa María Luisa.SE VENDE AMPLIA CASA EN SAN FELIPE DEL AGUA.Construida en tres niveles cuenta cuatro habitaciones, ubicada en la avenida Jacarandas, dan Felipe del agua, cuenta con espacios muy amplios en toda la casa, cerca de todos los servicios públicos.*Primer nivelCochera para dos autosRecibidorSalaComedorMedio bañoCocina integral equipadaLavanderíaUna recámara con baño completo y vestidorSegundo nivelDos recamaras Cada una con baño completo.Cada recámara cuenta con balcónTerraza con área socialTercer nivelUna recámara con vestidor y un baño completoTerrazaCubo de luzServiciosCisternaGas estacionarioSuperficie de terreno : 200M2Superficie de construcción:300 M2Desde $5,500, 000.00 MDPCitas e informes al",4 may 2023 - Publicado por GABRO
"Hermosa casa en venta,Nuroa",Nuroa,Casa,"Jardín, Oaxaca, Oaxaca",1850000,5,3,200,150,"Casa de dos niveles espaciosa, ideal para ver crecer a la familia consta en planta baja de patio, garage para 1 auto, estancia, sanitario, comedor, cocina, área de lavado, y traspatio, en planta alta vestíbulo, cinco recámaras y tres baños, desplantada sobre un terreno de 150 m2, y 200 m2 de construccion, cuenta con una cisterna 5 m3 y tinacos con capacidad de 11 m3.",3 may 2023 - Publicado por Braulio Rogelio Carrasco González
"CASA EN SAN MARTIN A 2 KM DEL CENTRO DE LA CIUDAD,Nuroa",Nuroa,Casa,"Emiliano Zapata, Oaxaca, Oaxaca",2100000,5,3,1,200,"¡EXCELENTE OPORTUNIDAD!! PROPIEDAD EN VENTA EN SAN MARTIN MEXICAPAM, EN EL MUNICIPIO DE OAXACA DE JUAREZ CON UNA EXCELENTE UBICACIÓN: 1.3 km del Periferico 2 Km del centro de la ciudad 1.4 Km de Plaza Bella  500 mts de Riveras de Atoyac Terreno 200 mts2 Inversión $2,100,000 Mas información al",3 may 2023 - Publicado por Tu casa en Oaxaca
"Casa - Oaxaca Centro,Nuroa",Nuroa,Casa,"Oaxaca Centro, Oaxaca, Oaxaca",3500000,3,1,90,,"En venta casa en el corazón de la ciudad de Oaxaca de Juárez, con un ubicación privilegiada a unas cuantas cuadras                    del zócalo, ideal para remodelarla y realizar el proyecto de tus sueños.",28 jul 2023 - Publicado por Altana Realty Group
"Casa - San Andrés Huayápam,Nuroa",Nuroa,Casa,"Manuel Ávila Camacho, Oaxaca, Oaxaca",8500000,4,5,333,,"Bonita casa residencial ubicada en un lugar que te brinda mucha tranquilidad, con vista panorámica de la ciudad endonde puedes observar la vegetación así como los cantos de las aves, cuenta con un área de asador, jardín y cercaelectrificada, se encuentra a tres cuadras de la carretera que te lleva al centro de Huayapam, pueblo pintoresco en dondese rigen por usos y costumbres, donde encontraras diferentes comercios como restaurantes, muy buenainversión para disfrutarla en familia.",28 jul 2023 - Publicado por Altana Realty Group
"Casa en Obra Negra - (3),Nuroa",Nuroa,Casa,"Lázaro Cárdenas 1ra Secc, Oaxaca, Oaxaca",2975000,4,4,600,240,"Casa en Obra Negra en Venta.  Con 600 metros de construcción y 240 metros de terreno. La propiedad se vende tal cual se muestran las fotos, para elegir los acabados y distribución que desees en tu nueva casa. El proyecto está conformado de la siguiente manera.  Planta baja: cochera, sala comedor, cocina,  1/2 baño y cisterna.Planta  alta: 4  habitaciones, 4 baños y una sala de estar.Rooftop: Terraza de descanso, convivencia y cuarto de servicio.Propiedad Ejidal. (3)",28 jul 2023 - Publicado por REMAX cantera
"HERMOSA CASA EN SAN LUIS BELTRAN CON VISTA AL PARQUE NACIONAL,Nuroa",Nuroa,Casa,"Donaji, Oaxaca, Oaxaca",2850000,4,3,200,212,"EXCELENTE OPORTUNIDAD DE HACERTE DE TU CASA PROPIA EN UNA ZONA AGRADABLE, CON MUCHA AGUA Y CON VISTAS INCREIBLES A LA CIUDAD Y MONTAÑA.Esta propiedad está en obra gris, lista para recibir pintura y acabados que pueden ser elegidos por el comprador.Edificada en 2 niveles con roof garden, cuenta con los espacios de cochera para 4 autos, sala, comedor, cocina, área de servicio, baño completo en planta baja, recámara o estudio, jardín y patio posterior, escaleras, 3 recámaras con espacio para closet en planta alta, la principal con balcón y baño propio y 1 baño completos al servicio de las recámaras junior. Se entrega con calentador solar y calentador de paso, tinaco y portón de metal.",27 jul 2023 - Publicado por Edith Miguel
"SE VENDE HERMOSA RESIDENCIA EN SAN FELIPE DEL AGUA,Nuroa",Nuroa,Casa,"San Felipe del Agua, Oaxaca, Oaxaca",11500000,5,6,500,500,"Descripción.ENAMÓRATE DE ESTA EXCLUSIVA PROPIEDAD EN SAN FELIPE DEL AGUA,Se vende hermosa Casa en San Felipe del Agua, ubicada a unas cuadras de la iglesia, construida en tres niveles con excelentes acabadosDirección: númeroPrimer nivel.Cochera techada para 2 autos.SalaComedorMedio bañoCisterna de 10,000 litros.Jardín el cual tiene sembrado un árbol pochote representativo del estadoCocina integral Incluye estufa y campanaPatio de servicio.Medio baño y estudio. Segundo nivel.Recámara 1 con closet y baño completo.Recámara 2 con vestidor y baño completo.Recámara 3 con closet, baño completo.Tercer nivel.Recámara 5 con closet y baño completo.Amplio rooof garden completamente techadoCuarto de máquinascuarto de servicioÁrea de socialMedio baño.En el techo de la recámara del 3 nivel están instalados el tinaco y gas estacionario.Todas las recamaras y sala comedor cuentan con la preparación para clima.220 metros de terreno.500 metros de construcción.Precio de venta:$ 11,500,000.00 ( once millones quinientos mil pesos 00/100 M.N )CITAS E INFORMES AL",31 may 2023 - Publicado por GABRO
"Casa - Agencia Municipal San Martin Mexicapan,Nuroa",Nuroa,Casa,"Moctezuma Sector Sur, Oaxaca, Oaxaca",4000000,3,2,,,"Casa Colonial con estilo Barroco, tan amplia que te permitirá disfrutar de cada espacio, un jardín que te ofrecerá tardesde tranquilidad, tus huéspedes o familiares disfrutarán de una agradable estancia gracias a sus amplias recamaras,podrás desplazarte en cada espacio con gran facilidad debido a su increíble construcción con divisiones espaciosas, unainigualable terraza para las tardes de reuniones donde tus invitados podrán admirar el bello paisaje deleitándose de unavista Panorámica, además tendrás un espacio donde te permitirá realizar un gym, una sala de juntas o una librería,construida de dos niveles idealmente pensada para la comodidad de recamarás en la planta baja, sala amplia,cocina en donde se construyo un horno con tabela decorada , cisterna de 10,000 litros y cochera para dos autos con dosaccesos sobre calles principales.A sus alrededores encontrarás escuelas, farmacias, comercios con gran afluencia vehícular.",28 jul 2023 - Publicado por Altana Realty Group
"Casa de REMATE BANCARIO en Oaxaca Centro.,Nuroa",Nuroa,Casa,"Barrio La Noria, Oaxaca, Oaxaca",2293000,3,2,,,"No se aceptan créditos Precio de remate., Aprovecha el descuento. Recuperación bancaria. Contáctame y te asesoro de manera correcta, Seguridad y Transparencia en tu compra.Cristina Téllez",1 ago 2023 - Publicado por Gutza Bienes Raices
