title,seller,property_type,address,price,bedrooms,bathrooms,built_area,land_area,description,publication_date
"Casa en venta, en san Felipe del agua, con amplio jardín",lamudi,Casa en Fraccionamiento,"Volcanes, Oaxaca, Oaxaca",12250000,4,3,217,514,"Residencia en venta ubicada en la zona más exclusiva de la ciudad d oaxaca, cuenta con todos los servicios Sala comedor Cocina Cuarto de TV 4 recámaras 3 baños completos  Cuarto de servicio Área de lavado Terraza con asador Cochera para 3 vehículos Porton eléctrico Área de jardín Cisterna de 19 mil litros",20 abr 2023 - Publicado por Inmobiliaria Cemkas
"AMPLIA CASA EN VENTA CERCA DE LA CARRET INTERNACIONAL, OAX-MEX",lamudi,Casa,"La Magueyera, Oaxaca, Oaxaca",2700000,,2,,209,"AMPLIA CASA EN VENTATRINIDAD DE VIGUERA, PARAJE LOS GUAJES$2,700.000 Regimen EjidalTodos los serviciosMuros estructurales y ventanales P. BAJAAmplia Sala, Cocina integral  Amplio ComedorEstudio, 1/2 baño, patio de servicioJardinCochera para 3 coches P. ALTA 1 Recamara (Baño propio) y Balcon1 Recamara (Baño propio)2 Recamaras1 Baño completo.Terraza ampliaArea de tendidocisterna de 10 000 mil litros Medidas:11.60 x 19 mtsVista panorámicaSOLO DE CONTADO",22 may 2023 - Publicado por AGENTES DE BIENES INMUEBLES OAXACA
HERMOSA CASA EN LA ZONA NORTE DE LA CD DE OAXACA EN VENTA,lamudi,Casa,"Ejido Guadalupe Victoria, Oaxaca, Oaxaca",8800000,,2,,354,"SE VENDE  CASA EN EJIDO GUADALUPE VICTORIAPROPIEDA PRIVADACaracterísticas:PRIMERA PLANTA:Sala comedor.Cocina integral. Amplia alacena.½ baño. Bar. Bodega. SEGUNDA PLANTA:2 Recamaras cada una con baño (Amplios clósets, aire acondicionado).Recamara principal (Amplio vestidor, aire acondicionado, baño completo con vapor y terraza con vestidor). ADICIONALES: Área social con alberca de 3 x 4 M. Amplia terraza con vista panorámica. Cochera para tres autos con área de almacenamiento.Portón eléctrico. Área de servicio. Cisterna de 20,000 L. Alarma y cerca eléctrica. Video portero. CONSTRUCCIÓN: 354.10 M2TERRENO: 210.88 M2$8,800,000 sin amueblar. $9,000,000 amueblada","Hace 2 semanas, 11 horas - Publicado por AGENTES DE BIENES INMUEBLES OAXACA"
"SE VENDE AMPLIA CASA EN EL FRACC.  LA LOMA, COLONIA LA CASCADA",lamudi,Casa,"Estrella, Oaxaca, Oaxaca",4800000,4,4,284,278,"CADA ZONA TIENE SU MAGIA!!SE VENDE AMPLIA CASA EN EN EL FRACC. LA LOMA, COLONIA LA CASCADA.Amplia casa en venta en el fraccionamiento la loma linda, la cascada.ubicada en un fraccionamiento cómodo y seguro donde puedes llegar fácilmente caminando a la col. Reforma, al Barrio de Xochimilco, cuenta con vigilancia las 24 horas del día.- Primer nivelEstacionamiento para 3 autosUna recámara con baño completoPatio de servicioCisterna de 15.000 mil litrosSistema de seguridad con barda electrificada.Segundo nivelSalaComedorCocina integralSala de televisión amplia1 recámara con baño completo2 recamaras con baño completoPatio ( las recamaras son muy amplias )Superficie de terreno: 284M2Construcción: 279 M2 renta por día: $1,200.00 Citas e informes al95",20 abr 2023 - Publicado por GABRO
SE VENDE HERMOSA RESIDENCIA EN SAN FELIPE DEL AGUA,lamudi,Casa,"San Felipe del Agua, Oaxaca, Oaxaca",11500000,5,6,500,500,"Descripción.ENAMÓRATE DE ESTA EXCLUSIVA PROPIEDAD EN SAN FELIPE DEL AGUA,Se vende hermosa Casa en San Felipe del Agua, ubicada a unas cuadras de la iglesia, construida en tres niveles con excelentes acabadosDirección: númeroPrimer nivel.Cochera techada para 2 autos.SalaComedorMedio bañoCisterna de 10,000 litros.Jardín el cual tiene sembrado un árbol pochote representativo del estadoCocina integral Incluye estufa y campanaPatio de servicio.Medio baño y estudio. Segundo nivel.Recámara 1 con closet y baño completo.Recámara 2 con vestidor y baño completo.Recámara 3 con closet, baño completo.Tercer nivel.Recámara 5 con closet y baño completo.Amplio rooof garden completamente techadoCuarto de máquinascuarto de servicioÁrea de socialMedio baño.En el techo de la recámara del 3 nivel están instalados el tinaco y gas estacionario.Todas las recamaras y sala comedor cuentan con la preparación para clima.220 metros de terreno.500 metros de construcción.Precio de venta:$ 11,500,000.00 ( once millones quinientos mil pesos 00/100 M.N )CITAS E INFORMES AL",21 abr 2023 - Publicado por GABRO
"casa 5 habitaciones 5 1/2 baños 2 cocheras, patio de fiestas, electrificada.",lamudi,Casa,"Central de Abasto, Oaxaca, Oaxaca",4600000,5,6,385,200,"Preciosa residencia con exelente ubicación a 2 cuadras de Liverpool Plaza Bella. Cuenta con dos cocheras ambas con portón eléctrico, recibidor, amplia sala y comedor, cocina integral, área de lavado, patio de servicio y patio de fiestas.Cuenta con 5 habitaciones y 5 1/2 baños y terraza.Paneles solares de 13 tubos 300 Lts/ cisterna de 10 mil LTS, está totalmente circulada y electrificada y cuenta con alarma.Llame hoy pra una cita",21 abr 2023 - Publicado por Condor Bienes Raices
SE VENDE CASA EN EL CENTRO HISTÓRICO DE OAXACA,lamudi,Casa,"Barrio Ex-Marquezado, Oaxaca, Oaxaca",15000000,,10,,479,"CASONA EN VENTA EN EL CENTRO DE OAXACA, UBICADA ENFRENTE DEL JARDÍN MADERO.Extraordinarios espacio para lograr un ambiente perfecto. La casa se puede usar para cualquier giro comercial o para casa habitación, cuenta con departamentos  personalizados y varían en tamaño y decoraciónConstruida en dos niveles Superficie de terreno: 479.552 M2 Un local muy amplio para cualquier uso  Estacionamiento para cinco autosCuenta con siete departamentos personalizados que actualmente funcionan para Airbnb Cada departamento cuenta con dos habitaciones, sala comedor, cocina, dos Baños, estacionamiento. Cuenta con calentadores solares e instalaciones de gas para cocineras La instalación eléctrica se divide en dos sectores y se renovó recientemente Desde $15,000,000.00 ( Quince millones de pesos )",29 jul 2023 - Publicado por GABRO
"Espaciosa residencia de 4 recámaras 3 y medio baños, inmenso jardín",lamudi,Casa,"Volcanes, Oaxaca, Oaxaca",7950000,4,4,190,736,"Esta puede ser la casa de sus sueños hechos realidad; sólida construcción de dos plantas, escalinata en piedra para dar acceso a la entrada principal, recibidor, medio baño de visitas, finos detalles de talavera, chimenea de ladrillo, ventanales de piso a techo, sala de doble altura, comedor con acceso a in gran balcón, cocina integral, estudio y por si fuera poco cuenta con una habitación en planta baja con su propio baño. En el primer nivel tenemos la espaciosa recámara principal con su baño completo y closet, además de una terraza con vista panorámica hacia la ciudad y hacia las montaños. Cuenta además con otras dos habitaciones que comparten un baño completo. En el exterior tiene una terraza con vista hermosa, ésta da a el gran jardín muy bien mantenido y tiene plantas de hornato así como árboles frutales y palmeras. La cochera para dos autos tiene su portón eléctrico. La casa se encuentra hacia la parte de atrás de la Igleia de San Felipe del Agua en la parte central del municipio. Sin duda una gran oportunidad de adquirir una propiedad con gran plusvalía. Llame para concertar una cita.",20 abr 2023 - Publicado por Condor Bienes Raices
Casa nueva 5 habitaciones 6 baños terraza para fiestas X Plaza Bella,lamudi,Casa,"Lindavista, Oaxaca, Oaxaca",4600000,5,6,385,200,"En venta nueva y hermosa residencia a todo lujo a 6 cuadras de Plaza Bella. En realidad es una casa de bajo perfil ya que desde el exterior parecería una casa normal, no obstante es una residencia; cuenta con 2 cocheras con portón eléctrico, bodega, y una de las cocheras puede ser usada como despacho ya que cuenta con un baño completo.Sala y comedor amplios, cocina integral , terraza, asador, hielera, jardín de macetas y área de lavado. Cuenta igualmente enplanta baja con una habitación con su baño completo y un medio baño de visitas.En el segundo piso tiene 4 habitaciones y 3 baños, la habitación principal con su walking closet y es muy espaciosa. Tiene igualmente una terraza grande en este nivel.Es realmente una joya de diseño de espacios. Llmae hoy mismo para una cita:",21 abr 2023 - Publicado por Condor Bienes Raices
"Hermosa casa remodelada en venta $5000,000",lamudi,Casa en Fraccionamiento,"Yalalag, Oaxaca, Oaxaca",5000000,,,,120,"Fraccionamiento privado con seguridad las 24 horas y acceso controlado. Muy cerca de bancos, plazas comerciales, hospitales, tiendas de autoservicio, etc. Cochera para 2 autos con portón automático Cisterna. Tres recámaras Dos baños completos y medio baño para área social (muebles nuevos)",20 abr 2023 - Publicado por Marino Bienes Raices
