title,seller,property_type,address,price,bedrooms,bathrooms,built_area,land_area,description,publication_date,zip_code,parking
"Casa en venta, en san Felipe del agua, con amplio jardín",lamudi,Casa en Fraccionamiento,volcanes,12250000,4.0,3.0,217.0,514.0,"Residencia en venta ubicada en la zona más exclusiva de la ciudad d oaxaca, cuenta con todos los servicios Sala comedor Cocina Cuarto de TV 4 recámaras 3 baños completos  Cuarto de servicio Área de lavado Terraza con asador Cochera para 3 vehículos Porton eléctrico Área de jardín Cisterna de 19 mil litros",20 abr 2023 - Publicado por Inmobiliaria Cemkas,68020.0,3.0
"SE VENDE AMPLIA CASA EN EL FRACC.  LA LOMA, COLONIA LA CASCADA",lamudi,Casa,estrella,4800000,4.0,4.0,284.0,278.0,"CADA ZONA TIENE SU MAGIA!!SE VENDE AMPLIA CASA EN EN EL FRACC. LA LOMA, COLONIA LA CASCADA.Amplia casa en venta en el fraccionamiento la loma linda, la cascada.ubicada en un fraccionamiento cómodo y seguro donde puedes llegar fácilmente caminando a la col. Reforma, al Barrio de Xochimilco, cuenta con vigilancia las 24 horas del día.- Primer nivelEstacionamiento para 3 autosUna recámara con baño completoPatio de servicioCisterna de 15.000 mil litrosSistema de seguridad con barda electrificada.Segundo nivelSalaComedorCocina integralSala de televisión amplia1 recámara con baño completo2 recamaras con baño completoPatio ( las recamaras son muy amplias )Superficie de terreno: 284M2Construcción: 279 M2 renta por día: $1,200.00 Citas e informes al95",20 abr 2023 - Publicado por GABRO,68045.0,3.0
SE VENDE HERMOSA RESIDENCIA EN SAN FELIPE DEL AGUA,lamudi,Casa,san felipe del agua,11500000,5.0,6.0,500.0,500.0,"Descripción.ENAMÓRATE DE ESTA EXCLUSIVA PROPIEDAD EN SAN FELIPE DEL AGUA,Se vende hermosa Casa en San Felipe del Agua, ubicada a unas cuadras de la iglesia, construida en tres niveles con excelentes acabadosDirección: númeroPrimer nivel.Cochera techada para 2 autos.SalaComedorMedio bañoCisterna de 10,000 litros.Jardín el cual tiene sembrado un árbol pochote representativo del estadoCocina integral Incluye estufa y campanaPatio de servicio.Medio baño y estudio. Segundo nivel.Recámara 1 con closet y baño completo.Recámara 2 con vestidor y baño completo.Recámara 3 con closet, baño completo.Tercer nivel.Recámara 5 con closet y baño completo.Amplio rooof garden completamente techadoCuarto de máquinascuarto de servicioÁrea de socialMedio baño.En el techo de la recámara del 3 nivel están instalados el tinaco y gas estacionario.Todas las recamaras y sala comedor cuentan con la preparación para clima.220 metros de terreno.500 metros de construcción.Precio de venta:$ 11,500,000.00 ( once millones quinientos mil pesos 00/100 M.N )CITAS E INFORMES AL",21 abr 2023 - Publicado por GABRO,68026.0,2.0
"Espaciosa residencia de 4 recámaras 3 y medio baños, inmenso jardín",lamudi,Casa,volcanes,7950000,4.0,4.0,190.0,736.0,"Esta puede ser la casa de sus sueños hechos realidad; sólida construcción de dos plantas, escalinata en piedra para dar acceso a la entrada principal, recibidor, medio baño de visitas, finos detalles de talavera, chimenea de ladrillo, ventanales de piso a techo, sala de doble altura, comedor con acceso a in gran balcón, cocina integral, estudio y por si fuera poco cuenta con una habitación en planta baja con su propio baño. En el primer nivel tenemos la espaciosa recámara principal con su baño completo y closet, además de una terraza con vista panorámica hacia la ciudad y hacia las montaños. Cuenta además con otras dos habitaciones que comparten un baño completo. En el exterior tiene una terraza con vista hermosa, ésta da a el gran jardín muy bien mantenido y tiene plantas de hornato así como árboles frutales y palmeras. La cochera para dos autos tiene su portón eléctrico. La casa se encuentra hacia la parte de atrás de la Igleia de San Felipe del Agua en la parte central del municipio. Sin duda una gran oportunidad de adquirir una propiedad con gran plusvalía. Llame para concertar una cita.",20 abr 2023 - Publicado por Condor Bienes Raices,68020.0,2.0
Casa nueva 5 habitaciones 6 baños terraza para fiestas X Plaza Bella,lamudi,Casa,lindavista,4600000,5.0,6.0,385.0,200.0,"En venta nueva y hermosa residencia a todo lujo a 6 cuadras de Plaza Bella. En realidad es una casa de bajo perfil ya que desde el exterior parecería una casa normal, no obstante es una residencia; cuenta con 2 cocheras con portón eléctrico, bodega, y una de las cocheras puede ser usada como despacho ya que cuenta con un baño completo.Sala y comedor amplios, cocina integral , terraza, asador, hielera, jardín de macetas y área de lavado. Cuenta igualmente enplanta baja con una habitación con su baño completo y un medio baño de visitas.En el segundo piso tiene 4 habitaciones y 3 baños, la habitación principal con su walking closet y es muy espaciosa. Tiene igualmente una terraza grande en este nivel.Es realmente una joya de diseño de espacios. Llmae hoy mismo para una cita:",21 abr 2023 - Publicado por Condor Bienes Raices,68030.0,2.0
CASA EN SAN MARTIN A 2 KM DEL CENTRO DE LA CIUDAD,lamudi,Casa,emiliano zapata,2100000,5.0,3.0,1.0,200.0,"¡EXCELENTE OPORTUNIDAD!! PROPIEDAD EN VENTA EN SAN MARTIN MEXICAPAM, EN EL MUNICIPIO DE OAXACA DE JUAREZ CON UNA EXCELENTE UBICACIÓN: 1.3 km del Periferico 2 Km del centro de la ciudad 1.4 Km de Plaza Bella  500 mts de Riveras de Atoyac Terreno 200 mts2 Inversión $2,100,000 Mas información al",20 abr 2023 - Publicado por Tu casa en Oaxaca,68148.0,
"Casa en venta 3 niveles, 10 recámaras, 9 baños, céntrica",lamudi,Casa,estrella,5700000,10.0,9.0,430.0,166.0,Hermosa casa ubicada alrededor de plazas comerciales y negocios. Se encuentra cerca de centros educativos de todos los niveles. Cuenta con todos los servicios y calles pavimentadas,20 abr 2023 - Publicado por Marino Bienes Raices,68045.0,
VENDO CASA 3 RECAMARAS 1 ESTUDIO COLONIA JARDIN OAXACA,lamudi,Casa,jardin,3200000,4.0,3.0,231.0,186.0,"casa en venta ubicada en colonia jardinConstruida con material tradicionalZona tranquila y urbanizadaColinda con colonia volcanes y san luis beltraristicas:Cochera para 1 auto1 estudioBaño completo1 patio.Cisterna 10,000 lts.Primer nivel:SalaComedorCocina integralPatio trasero1 baño completo1 estudio o RecámaraSegundo nivel:Recamara principal con balcon1 amplio vestidor con madera de pino.1 baño completo.2 recamaras con piso amaderado1 con balcon.Tercer nivel:1bodega o cuarto de servicioTecho impermeabilizado para adaptar una terrazaAgradable vista.Tinaco 1,100Tanque estacionario 300 lts.Cuenta con todos los serviciosPrevia cita",20 abr 2023 - Publicado por Inmuebles Oaxaca,68023.0,1.0
"Casa en venta nueva de 3 recámaras, Terminal de Autobuses. Santa Cruz Xoxocotlán",lamudi,Casa en Condominio,estrella,2100000,3.0,1.0,90.0,135.0,"Venga a conocer maravillosa casa, lista para estrenarse! Chapa electrónica de código, huella y llave Iluminación automatizada por comandos de voz y dispositivos móviles Áreas comunes con cancha de football, cestas de basketball, gimnasio al aire libre y sanitrios Acceso controlado y vigilancias 24 horas",20 abr 2023 - Publicado por Marino Bienes Raices,68045.0,
"Rancho de los Anhelos en Venta, Banda de Oaxaca en San Miguel de Allende",lamudi,Casa,barrio xochimilco,2000000,2.0,1.0,124.0,2629.0,"Sobre la carretera hacia la comunidad Banda en un camino tranquilo, está una propiedad de la que te quiero contar.En el centro de un terreno que mide 2,629.059 m2 están los comienzos de una casa que tiene por construcción 124.39 m2 con espacio para cocina, comedor, sala, 1 baño completo, y dos recamaras. El toque final con los acabados a tu gusto terminará de mostrarte  la casa de campo de tus sueños. Tienes la posibilidad de seguir construyendo en este espacio por el gran terreno que hay disponible, está lo bastante lejos para vivir tranquilo fuera del ruido de la ciudad y a la vez lo convenientemente cerca por su acceso fácil a carreteras principales hacia la ciudad.Como inversión también es excelente pudiendo desarrollar un proyecto de cabañas por ejemplo. Los servicios de agua y energía eléctrica están totalmente disponibles y a la mano.  La zona ya está habitada con familias de la comunidad y algunos comercios locales. El paso de transporte público durante el día también es una realidad en la zona.Muy cerca del río laja y de la Presita de Santa Rosa, es una zona con mucha agua.------------------------------------On the road to the Banda community on a quiet road, there is a property that I want to tell you about.In the center of a land that measures 2,629.059 m2 are the beginnings of a house that has a construction of 124.39 m2 with space for kitchen, dining room, living room, 1 full bathroom, and two bedrooms. The final touch with the finishes to your liking will finish showing you the country house of your dreams.You have the possibility to continue in this space due to the large land that is available, it is far enough to live quietly outside the noise of the city and at the same time it is conveniently close due to its easy access to main roads to the city.As an investment it is also excellent, being able to develop a cabin project for example. Water and electricity services are fully available and at hand. The area is already inhabited with families from the community and some local businesses. The passage of public transport during the day is also a reality in the area.Very close to the Laja River and the Presita de Santa Rosa, it is an area with a lot of water.*Cooperative Agent. EasyBroker ID: EB-JW4371",28 feb 2023 - Publicado por RESMA Real Estate / Bienes Raíces,68040.0,
CASA  EN REMATE ZONA XOXO-CUILAPAM Oaxaca,lamudi,Casa, los rios,1500000,4.0,3.0,160.0,200.0,"CASA CON AMPLIO TERRENO EN CUILAPAM OAX *EXCELENTE OPORTUNIDAD DE INVERSIÓN* Ubicada en los límites de santa Cruz xoxocotlan y CUILAPAM DE GUERRERO,  *sector cruz blanca Rancho Aguayo* , a solo 30 minutos del centro de la ciudad y a solo 5 min de la camara de diputados y de la universidad Anáhuac  *1,500,000 Sup terreno 200 m2 Descripción:Consta de dos construcciones en su interior: CASA HABITACIÓN PRINCIPALConstruida en dos niveles Planta baja (habitable)SalaComedor Cocina Recamara / Estudio Baño completo ( separado Wc y regadera) Patio de servicio * *Pisos con Acabados  en loseta , muros y techos aplanados en cemento , con excepción del baño este está en obra negra, cableado en toda esta planta.*  Planta alta ( *OBRA NEGRA)*   3 Recámaras Vestíbulo 1Baño completo  *BUNGALOW con terraza y 1 baño completo*  *( habitable)* Construido en un solo nível con Muros de ladrillo, aplanado fino y piso pulido, el baño cuenta con pisos en azulejo , calentador.El techo de este es base de galva teja. *CUENTA CON LUZ, DRENAJEPOZO DE AGUA ANILLADO CON BOMBA, TINACO DE 1,100 lts *PROPIEDAD, REGISTRO DEFINITIVO, LIBRE DE GRAVAMEN.* Acepta Pago en efectivo o crédito hipotecario el que aplique sino cuenta con uno le apoyamos en la asesoría y trámiteCITA PREVIAPaulina Jiménez,. EasyBroker ID: EB-MM1441",9 may 2023 - Publicado por PROISA INMOBILIARIA,68028.0,
CASA NUEVA  ZONA NORTE DE LA CIUDAD DE OAXACA,lamudi,Casa,microondas,3950000,4.0,3.0,220.0,150.0,"AMPLIA CASA NUEVA  DE 150 M2  ZONA NORTE DE ALTA PLUSVALÍA,  CON RÁPIDOS ACCESOS A COLONIA REFORMA, SAN FELPE DEL AGUA Y CENTRO DE LA CIUDAD, A SOLO 3 KM AL NORTE DEL BARRIO DE XOCHIMILCO CONSTRUCCIÓN TRADICIONALPLANTA BAJA:*COCHERA PARA 2 AUTOS * PORTÓN ELÉCTRICO*SALA*1  BAÑO COMPLETO*  ESTUDIO/RECAMARA *COMEDOR*COCINA EQUIPADA (cocina integral y barra de granito)*CISTERNA CON BOMBAPLANTA ALTA:* RECAMARA PRINCIPAL CON BAÑO COMPLETO ( vestidor, aire acondicionado)*1 BAÑO COMPLETO COMPARTIDO*2 RECAMARAS SECUNDARIAS CON CLOSETS AZOTEA:"" PERGOLA*TERRAZA CON ASADOR (vista a las montañas)NOTA: Pisos de loseta calidad InterceramicMAYORES INFORMES PREVIA VITACEL:,. EasyBroker ID: EB-MB6762",9 may 2023 - Publicado por PROISA INMOBILIARIA,68043.0,2.0
SE VENDE CASA EN LA COLONIA LIBERTAD - (3),lamudi,Casa,ejido guadalupe victoria,2750000,5.0,3.0,103.0,109.0,"Se vende propiedad para inversionistas, con ubicación estratégica, muy cerca de la Central de Abastos y el Centro de la ciudad, lista para habitar o ideal para cualquier negocio. (3)",12 jul 2023 - Publicado por REMAX cantera,68277.0,
SE VENDE CASA EN FRACCIONAMIENTO LA JOYA,lamudi,Casa en Fraccionamiento,lazaro cardenas 1a secc,1299000,3.0,1.0,80.0,80.0,"ESTA BONITA CASA CUENTA CON LO SIGUIENTE  3 recámaras  2 Baños  Patio de servicio  cisterna de 5mil litros  Cajón de estacionamiento  Sala - Comedor  Cocina $1,299,000Dentro de fraccionamiento",24 abr 2023 - Publicado por Bienes Raíces Oaxaca,68140.0,1.0
VENDO BONITA CASA EN FRACCIONAMIENTO JARDINES DE BRENAMIEL,lamudi,Casa,estrella,1985000,3.0,2.0,160.0,104.0,"endo bonita casa en fracc. Jardines de brenamiel Caracteristicas:  Planta baja: Sala comedor Cocina integral Cochera techada Patio de sericio Medio baño para isitas Patio de laado  Planta alta :1 recamara con closets y baño completo 2 recamaras con closets que comparten baño completo Calentador solar  Cisterna de 5000 litros   104metros de terreno y de construcción 160  $1'985,000",20 abr 2023 - Publicado por INMOBILIARIA GAMALY,68045.0,1.0
"SE VENDE CASA DE UNA SOLA PLANTA, EN SAN MARTÍN MEXICAPAN",lamudi,Casa,lazaro cardenas 1a secc,3000000,3.0,3.0,152.0,347.0,"CASA DE UNA SOLA PLANTA.CUANTA CON:SALACOMEDOR COCINA INTEGRAL PATIO AMPLIO COCHERA3 RECAMARAS CADA UNA CON BAÑO COMPLETOBODEGATODOS LOS SERVICIOS.PRECIO:$3""000,000",12 may 2023 - Publicado por INMOBILIARIA GAMALY,68140.0,3.0
