title,seller,property_type,address,price,bedrooms,bathrooms,built_area,land_area,description,publication_date,zip_code,parking
"SE VENDE LINDA CASA EN SAN  FELIPE  DEL AGUA , CALLE JACARANDAS,Nuroa",Nuroa,Casa,volcanes,5500000.0,4.0,4.0,300.0,200.0,"Suave y acogedora es lo que describe a casa María Luisa.SE VENDE AMPLIA CASA EN SAN FELIPE DEL AGUA.Construida en tres niveles cuenta cuatro habitaciones, ubicada en la avenida Jacarandas, dan Felipe del agua, cuenta con espacios muy amplios en toda la casa, cerca de todos los servicios públicos.*Primer nivelCochera para dos autosRecibidorSalaComedorMedio bañoCocina integral equipadaLavanderíaUna recámara con baño completo y vestidorSegundo nivelDos recamaras Cada una con baño completo.Cada recámara cuenta con balcónTerraza con área socialTercer nivelUna recámara con vestidor y un baño completoTerrazaCubo de luzServiciosCisternaGas estacionarioSuperficie de terreno : 200M2Superficie de construcción:300 M2Desde $5,500, 000.00 MDPCitas e informes al",4 may 2023 - Publicado por GABRO,68020.0,2.0
"Hermosa casa en venta,Nuroa",Nuroa,Casa,jardin,1850000.0,5.0,3.0,200.0,150.0,"Casa de dos niveles espaciosa, ideal para ver crecer a la familia consta en planta baja de patio, garage para 1 auto, estancia, sanitario, comedor, cocina, área de lavado, y traspatio, en planta alta vestíbulo, cinco recámaras y tres baños, desplantada sobre un terreno de 150 m2, y 200 m2 de construccion, cuenta con una cisterna 5 m3 y tinacos con capacidad de 11 m3.",3 may 2023 - Publicado por Braulio Rogelio Carrasco González,68023.0,1.0
"Casa en Obra Negra - (3),Nuroa",Nuroa,Casa,lazaro cardenas 1a secc,2975000.0,4.0,4.0,600.0,240.0,"Casa en Obra Negra en Venta.  Con 600 metros de construcción y 240 metros de terreno. La propiedad se vende tal cual se muestran las fotos, para elegir los acabados y distribución que desees en tu nueva casa. El proyecto está conformado de la siguiente manera.  Planta baja: cochera, sala comedor, cocina,  1/2 baño y cisterna.Planta  alta: 4  habitaciones, 4 baños y una sala de estar.Rooftop: Terraza de descanso, convivencia y cuarto de servicio.Propiedad Ejidal. (3)",28 jul 2023 - Publicado por REMAX cantera,68140.0,1.0
"HERMOSA CASA EN SAN LUIS BELTRAN CON VISTA AL PARQUE NACIONAL,Nuroa",Nuroa,Casa,donaji,2850000.0,4.0,3.0,200.0,212.0,"EXCELENTE OPORTUNIDAD DE HACERTE DE TU CASA PROPIA EN UNA ZONA AGRADABLE, CON MUCHA AGUA Y CON VISTAS INCREIBLES A LA CIUDAD Y MONTAÑA.Esta propiedad está en obra gris, lista para recibir pintura y acabados que pueden ser elegidos por el comprador.Edificada en 2 niveles con roof garden, cuenta con los espacios de cochera para 4 autos, sala, comedor, cocina, área de servicio, baño completo en planta baja, recámara o estudio, jardín y patio posterior, escaleras, 3 recámaras con espacio para closet en planta alta, la principal con balcón y baño propio y 1 baño completos al servicio de las recámaras junior. Se entrega con calentador solar y calentador de paso, tinaco y portón de metal.",27 jul 2023 - Publicado por Edith Miguel,68023.0,4.0
"SE VENDE HERMOSA RESIDENCIA EN SAN FELIPE DEL AGUA,Nuroa",Nuroa,Casa,san felipe del agua,11500000.0,5.0,6.0,500.0,500.0,"Descripción.ENAMÓRATE DE ESTA EXCLUSIVA PROPIEDAD EN SAN FELIPE DEL AGUA,Se vende hermosa Casa en San Felipe del Agua, ubicada a unas cuadras de la iglesia, construida en tres niveles con excelentes acabadosDirección: númeroPrimer nivel.Cochera techada para 2 autos.SalaComedorMedio bañoCisterna de 10,000 litros.Jardín el cual tiene sembrado un árbol pochote representativo del estadoCocina integral Incluye estufa y campanaPatio de servicio.Medio baño y estudio. Segundo nivel.Recámara 1 con closet y baño completo.Recámara 2 con vestidor y baño completo.Recámara 3 con closet, baño completo.Tercer nivel.Recámara 5 con closet y baño completo.Amplio rooof garden completamente techadoCuarto de máquinascuarto de servicioÁrea de socialMedio baño.En el techo de la recámara del 3 nivel están instalados el tinaco y gas estacionario.Todas las recamaras y sala comedor cuentan con la preparación para clima.220 metros de terreno.500 metros de construcción.Precio de venta:$ 11,500,000.00 ( once millones quinientos mil pesos 00/100 M.N )CITAS E INFORMES AL",31 may 2023 - Publicado por GABRO,68026.0,2.0
"Casa en Venta en la Colonia Volcanes - (3),Nuroa",Nuroa,Casa,volcanes,7400000.0,6.0,4.0,350.0,366.0,"Propiedad en la colonia Volcanes, Oaxaca, cuenta con seis habitaciones, todas equipadas con clóset para mayor comodidad. Además, cuenta con cocina integral, una terraza para disfrutar al aire libre, un cuarto de televisión para momentos de entretenimiento y un práctico cuarto de lavado. Los cuatro baños completos aseguran que haya suficiente espacio para todos los residentes. Y para aquellos que poseen varios autos, el estacionamiento tiene capacidad para cinco vehículos, es una ventaja adicional. Una vivienda ideal para una familia numerosa o aquellos que buscan mucho espacio y comodidades en su hogar.Además de sus amplias comodidades, esta casa en la colonia Volcanes, Oaxaca, también representa una magnífica oportunidad para desarrolladores. Su terreno y ubicación estratégica son ideales para construir un edificio de departamentos habitacionales. Con la demanda de viviendas en la zona, este proyecto podría ofrecer una excelente inversión y proporcionar espacios modernos y funcionales para futuros residentes. Una propuesta atractiva para aquellos interesados en el desarrollo inmobiliario y maximizar el potencial de este valioso terreno.  (3)",30 jul 2023 - Publicado por REMAX cantera,68020.0,5.0
"Se vende casa en Fraccionamiento. - (3),Nuroa",Nuroa,Casas En Condominios,fraccionamiento villas montealban,1290000.0,3.0,2.0,61.0,94.0,"Esta casa cuenta con estacionamiento privado hasta 2 vehículos.En planta baja se encuentra la sala comedor, cocina con barra desayunador, 2 recamaras una de ellas podría adecuarse a estudio, baño completo y área de servicio.En la segunda planta, recamara  y baño completo. (3)",4 ago 2023 - Publicado por REMAX cantera,68143.0,2.0
"PRECIOSA CASA REMODELADA EN LA PRIMERA ETAPA RICARDO FLORES MAGON,Nuroa",Nuroa,Casa,unidad habitacional ricardo flores magon,2850000.0,3.0,3.0,135.0,68.0,"Casa construida en 2 plantas:💹Planta baja cuenta con:📌 Recibidor con protección de fierro📌1/2 Baño, Sala-comedor, cocina integral, recámara con clóset de madera y baño completo📌 Cisterna de 5,000 lt.,💹 Planta alta cuenta con:📌2 recámaras amplias con vestidor y  clóset de madera y muebles de madera con gavetas y cajones 📌Baño en cada una de las recamaras📌La recámara principal tiene un pequeño balcón con vista a la calle y protección de herreria en un diseño arquitectónico, que cumple con su función.📌El vestíbulo de la escalera equipado con un clóset de blancos📌Área de servicio techada con plicarbonato, equipada con lavadero, instalación para la lavadora,  calentador, hidroneumático, 2 tinacos de 1,100 lt, tanque de gas estacionario, hay un cubo de luz y ventilación con una escalera de fierro para subir a la azotea.📌Equipada con mueble de madera bajo de la escalera de fierro.📌Cuenta con cajón de estacionamiento asignado frente a la casa.Se muestra con previa cita.",3 ago 2023 - Publicado por Edith Miguel,68025.0,1.0
"HERMOSA CASA EN EL FRACCIONAMIENTO SAN JOSE LA NORIA,Nuroa",Nuroa,Casa,fraccionamiento san jose de la noria,9380000.0,4.0,3.0,127.0,168.0,"Gran oportunidad de adquirir un inmueble remodelado en una zona segura, tranquila y de alta plusvalía.Casa en dos niveles, ofrece cochera para 2 autos, portones automáticos, recibidor, estudio, bodega de servicio, medio baño para visitas, sala, comedor, cocina con cocina integral, área de servicio y escaleras de caracol para el área de lavado, jardín interior, escaleras para la planta alta donde encontraremos 4 recámaras, la principal y secundaria con baño propio cada una, dos recámaras junior con el tercer baño completo a su servicio y una sala de de tv.La casa tiene una cisterna de 10 mil litros, 3 tinacos y gas estacionario. ESTA LIBRE DE GRAVAMEN.Se muestra previa cita.",3 ago 2023 - Publicado por Edith Miguel,68120.0,2.0
"VENTA DE HERMOSAS CASAS LOFT NUEVAS EN 7 REGIONES OAXACA,Nuroa",Nuroa,Casa,7 regiones,2650000.0,2.0,1.0,60.0,100.0,"Casa loft en venta en la Colonia 7 Regiones consta de Planta baja y dos niveles.Concepo de diseño Loft industrial.Vivienda contemporánea.Terreno 60m2, construcción 100m2Propiedad de carácter definitivo en condominio.PRECIO VENTA💲2'650,000.00✅Incluye lo siguiente:✅Planta baja techada para estacionamiento de 2 autos y un  jardín lateral a todo lo largo.💯La planta baja también puede ser usada como oficina o local comercial, porque está techada.📌El primer nivel es un espacio abierto integrando sala-comedor-cocina también incluye un medio baño y lavandería.📌En el Segundo nivel tenemos 2 habitaciones y 1 baño completo, con mamparas en regadera de cristal templado. Cada habitación tiene clóset y amplio ventanal.📌La vivienda incluye escalera interior para acceso a la azotea, cómo continuación de escalera interior, cubierta con un domo móvil, que permite amplia iluminación.📌La azotea podrá ser usada como terraza al aire libre con barandal. Usted podrá decorarla al gusto.✅La casa incluye calentador de 40lts, tanque de gas estacionario, cisterna 10 mil lts y sistema hidroneumático para el servicio de baños y cocina.📌La iluminación general de la casa incluye lámparas en estilo vintage, arbotantes discretos color negro y tiras de iluminación leds. Con la intención de crear un ambiente relajado y confortable.📌Acabados en puertas y pisos en madera natural, muros de durock con recubrimieto de tabique rojo aparente y estructura general de la vivienda con columnas y vigas de acero en color natural y muros de concreto armado.Se muestran previa cita. Precio sujeto a cambio sin previo aviso.",3 ago 2023 - Publicado por Edith Miguel,68023.0,2.0
